
1,John Reyes MD,Merited Master of Sport,6,89016133069,Women
2,Kayla Brown,Second-Class Sportsman,6,89057532245,Women
3,Yolanda Williams,Third-Class Sportsman,31,89675623403,Women
4,Andrea Wilson,Master of Sport,18,89544438379,Women
5,Angela Martinez,Master of Sport of the International Class,31,89073097643,Women
6,Kimberly Wood,Master of Sport,16,89509296259,Women
7,Jeffrey Obrien,Third-Class Sportsman,15,89926644402,Women
8,Elizabeth Bailey,First-Class Sportsman,26,89278279751,Women
9,Tiffany Lane,Candidate for Master of Sport,15,89253649726,Women
10,Deanna Novak,First-Class Junior Sportsman,6,89312808908,Women
11,Linda Mendoza,None,21,89805658314,Women
12,Patrick Roberts,First-Class Sportsman,17,89235408637,Women
13,Lisa Peck,None,24,89896572785,Men
14,Ian Webster,Third-Class Junior Sportsman,37,89951346419,Men
15,Justin Allen,First-Class Junior Sportsman,30,89695159484,Men
16,Teresa Ellison,Candidate for Master of Sport,25,89612412818,Men
17,Edward Moon,Master of Sport,6,89341807849,Women
18,Brandy Norris,Third-Class Sportsman,22,89564930451,Women
19,Charles Khan,Candidate for Master of Sport,20,89321083851,Men
20,Laura Li,Merited Master of Sport,32,89151653935,Women
21,Linda Anderson,Candidate for Master of Sport,10,89985201718,Men
22,Ricky Smith,Third-Class Junior Sportsman,14,89251695360,Women
23,Carrie Watkins,Candidate for Master of Sport,15,89024473153,Men
24,Tammy Morris MD,Master of Sport,26,89819466942,Women
25,Richard Brown,None,7,89935077044,Men
26,Michael Simmons,Master of Sport,23,89587772014,Men
27,Jennifer Nelson,Third-Class Junior Sportsman,13,89386492973,Women
28,John Parsons,First-Class Sportsman,10,89197439175,Men
29,Penny Smith,Candidate for Master of Sport,15,89200633580,Women
30,Ashley Bauer,First-Class Sportsman,34,89315246496,Men
31,Nancy Fletcher,First-Class Sportsman,31,89650374628,Men
32,Robert Peterson,First-Class Junior Sportsman,40,89980064332,Women
33,Kelly Davis,Merited Master of Sport,30,89747041793,Women
34,Brandon Adams,Master of Sport,23,89334409016,Men
35,Stephanie Hardin,Second-Class Junior Sportsman,37,89246537872,Men
36,Edward Miller,Master of Sport of the International Class,12,89858057244,Men
37,Brandon Cardenas,Candidate for Master of Sport,10,89849815550,Men
38,Alexander Kim,Second-Class Junior Sportsman,6,89565006585,Men
39,Lawrence English,Third-Class Sportsman,39,89547830640,Men
40,Holly Contreras,First-Class Sportsman,38,89061749630,Women
41,Ashley Garcia,None,36,89693978586,Men
42,Brittany Peters,First-Class Sportsman,29,89989709279,Women
43,Brandon Simpson,Candidate for Master of Sport,9,89329910593,Women
44,Tony Douglas,Second-Class Sportsman,26,89879784796,Men
45,Christina Hampton,First-Class Sportsman,17,89014715395,Women
46,Andrew Hill,Merited Master of Sport,9,89262995782,Women
