
1,Lisa Obrien,Master of Sport,33,63,89745283285,Men
2,Daniel Harrington,Master of Sport,12,36,89795885749,Men
3,Miss Nancy Smith,First-Class Sportsman,12,54,89153453369,Men
4,Carla Lewis,Candidate for Master of Sport,6,49,89270730847,Women
5,Dr. Kristen Randall,Master of Sport of the International Class,40,44,89220104281,Women
6,Jade Moreno,First-Class Sportsman,33,56,89609770717,Women
7,Angelica Alexander,Candidate for Master of Sport,48,49,89790435642,Women
8,Caitlin Humphrey,Master of Sport,18,20,89135522625,Men
9,James Harrison,Candidate for Master of Sport,28,29,89946057035,Women
10,Jeremy Hanna,Master of Sport,11,55,89499426985,Women
11,Adam Olson,Master of Sport,50,53,89204280999,Men
12,Priscilla Norris,Master of Sport,51,45,89641654918,Men
13,Patricia Rivas,Merited Master of Sport,47,43,89757719861,Men
14,Corey Baker,Master of Sport of the International Class,7,28,89237660072,Men
15,Daniel Greene,Merited Master of Sport,47,28,89990465273,Men
16,Randy Hall,Candidate for Master of Sport,18,70,89576528833,Men
17,Maria King,Merited Master of Sport,28,69,89611730600,Women
18,Erika Martinez,Master of Sport of the International Class,8,22,89608949338,Men
19,Melanie Chen,Master of Sport,35,55,89940962552,Women
20,Carl Sanders,Master of Sport,8,32,89885254821,Men
21,Samuel Alvarado,Master of Sport of the International Class,36,40,89932781821,Women
22,Katelyn Mitchell,Merited Master of Sport,25,33,89849028828,Men
23,Scott Willis,First-Class Sportsman,39,28,89679510519,Men
24,David Norris,Master of Sport,15,64,89319652072,Men
25,Carolyn Gutierrez,Master of Sport,40,34,89700182652,Men
26,Nicole King,Master of Sport,15,62,89428396056,Men
27,Carla Taylor,Master of Sport of the International Class,32,70,89011961858,Men
28,Mrs. Brittany Thompson MD,Candidate for Master of Sport,24,57,89254282743,Men
29,Omar White,Master of Sport,13,53,89980543797,Women
30,Adam Randall,Master of Sport,14,33,89073778157,Women
31,Stephen Rodriguez,Merited Master of Sport,34,45,89060554174,Men
32,Michael Decker,First-Class Sportsman,17,19,89816275949,Men
33,James Stokes,Master of Sport,26,24,89239548824,Men
34,Jennifer Miller,Merited Master of Sport,8,24,89183833512,Men
35,Kathy Hoffman,Candidate for Master of Sport,23,62,89951852771,Women
36,Tim Watson,First-Class Sportsman,45,53,89480845747,Women
37,Ryan Gomez,Merited Master of Sport,21,56,89510596779,Men
38,Amber Johnson,Merited Master of Sport,26,32,89595640345,Women
39,Alan Smith,Merited Master of Sport,50,21,89231172933,Women
40,Anthony Tucker,Candidate for Master of Sport,21,20,89478361911,Women
41,Gina Adams,Candidate for Master of Sport,31,50,89586758512,Women
42,Karen Sandoval,Master of Sport,21,24,89150050603,Women
43,Caleb Haley,Merited Master of Sport,47,31,89907731081,Women
44,Mark Curtis,First-Class Sportsman,15,56,89894978452,Men
45,Katherine Walker,First-Class Sportsman,23,60,89798634060,Women
46,Paula Thompson,First-Class Sportsman,25,52,89511553843,Women
47,Cody Soto,Merited Master of Sport,10,62,89256835729,Men
48,Daniel Knight,Master of Sport,15,32,89497998470,Men
49,Rachel Schaefer,First-Class Sportsman,7,59,89400311918,Men
50,Larry Hale,Master of Sport,31,63,89999071891,Women
51,John Lopez,Candidate for Master of Sport,13,68,89107983300,Women
52,Shane Anderson,Merited Master of Sport,27,27,89339561214,Women
53,Richard King,Merited Master of Sport,43,52,89880235688,Women
54,Catherine Ramsey,First-Class Sportsman,15,40,89374992130,Women
55,Matthew Dixon,Master of Sport of the International Class,15,52,89059487928,Men
56,David Serrano,Merited Master of Sport,21,51,89540312374,Men
57,Christopher Newton,Merited Master of Sport,38,22,89812138384,Women
58,Michael Simpson,Master of Sport of the International Class,14,19,89497509235,Men
59,Amanda Wong,Merited Master of Sport,48,32,89886268496,Men
60,Catherine Wiggins,Candidate for Master of Sport,47,70,89624294818,Men
61,Rachel Hall,First-Class Sportsman,33,52,89777868727,Women
62,Meredith Henderson,Master of Sport,39,67,89984346617,Men
