
1,Prodavez,Petrov Ilya,10000,5
2,Security,Ivanov Dima,20000,1
3,Manager,Levushkin Pasha,30000,9
4,Director,Sharikov Sasha,100000,7
5,Security,Vasyukov Lexa,250000,3
6,Prodavez,Smirnov Artem,150004,10
7,Manager,Stepanenko Vova,29000,8
8,Prodavez,Kolganov Maksim,9000,2
9,Prodavez,Sorokin Anton,14999,6
10,Prodavez,Marashli Ilya,8500,4
11,Prodavez,Petrov Ily,10000,5
12,Security,Ivanov Dim,20000,1
13,Manager,Levushkin Pash,30000,9
14,Director,Sharikov Sash,100000,7
15,Security,Vasyukov Lex,250000,3
16,Prodavez,Smirnov Arte,150004,10
17,Manager,Stepanenko Vov,29000,8
18,Prodavez,Kolganov Maksi,9000,2
19,Prodavez,Sorokin Anto,14999,6
20,Prodavez,Marashli Ily,8500,4
