
1,Kelly Russell,Merited Master of Sport,37,89234429423,Men
2,Stephen Ford,Second-Class Sportsman,10,89676349143,Men
3,Danielle Mason,Third-Class Sportsman,25,89368110372,Men
4,Abigail Lyons,Second-Class Junior Sportsman,16,89975536903,Women
5,Andrea Robinson,None,24,89915288290,Men
6,Donald Martinez,Merited Master of Sport,7,89330323469,Women
7,Sara Patel,First-Class Junior Sportsman,12,89565761440,Women
8,Allison Hill,Second-Class Sportsman,6,89261671344,Men
9,Joseph Kramer,Master of Sport,8,89300616286,Men
10,Melinda Jenkins,First-Class Junior Sportsman,34,89288759510,Men
11,Lisa Turner,Candidate for Master of Sport,15,89096270028,Women
12,Jenna Tucker,First-Class Junior Sportsman,33,89556427205,Men
13,Christine Brown,Second-Class Sportsman,16,89170776968,Women
14,Kelly Collier,Second-Class Junior Sportsman,19,89298961105,Men
15,Melissa Liu,Master of Sport of the International Class,31,89803716030,Men
16,Timothy Rodriguez,Merited Master of Sport,36,89475593207,Men
17,Lynn Johnson,Third-Class Sportsman,26,89656560616,Women
18,Steven Mendoza,Merited Master of Sport,8,89139390148,Men
19,Kevin Serrano,Candidate for Master of Sport,37,89513031641,Women
20,Gregory Meyers,Merited Master of Sport,30,89292595817,Men
21,Eric Martin,Master of Sport of the International Class,22,89994572857,Men
22,Steven Deleon,Second-Class Sportsman,17,89923899974,Women
23,Todd Miller,Third-Class Sportsman,13,89126193040,Men
24,Pamela Smith,Merited Master of Sport,35,89478030769,Women
25,Seth Garner,Master of Sport of the International Class,23,89903917487,Men
26,Emily Rivas,None,9,89724330438,Men
27,Jonathan Reyes,Third-Class Sportsman,12,89087891209,Men
28,Craig Long,First-Class Junior Sportsman,13,89769228226,Women
29,Emily Hicks,First-Class Junior Sportsman,40,89363313875,Women
30,Michael Miller,Second-Class Junior Sportsman,31,89573543459,Women
31,Daniel Harris,First-Class Sportsman,22,89315121714,Men
32,Joanna Campbell,First-Class Junior Sportsman,36,89703704935,Women
33,Kerri Wells,Second-Class Junior Sportsman,18,89648642651,Men
34,David Williams Jr.,First-Class Junior Sportsman,15,89477769573,Women
35,Kimberly Bradley,None,33,89583110560,Men
36,Brett Ashley,Second-Class Junior Sportsman,28,89040187932,Women
37,Steven Garrison,Second-Class Junior Sportsman,21,89924186415,Men
38,Dr. Lee Thomas DVM,Master of Sport,16,89665043458,Men
39,Shane Mosley,Merited Master of Sport,25,89944613594,Women
40,Sarah Gould,Master of Sport of the International Class,23,89994886799,Men
41,Emily Chavez,Third-Class Junior Sportsman,17,89532907223,Men
42,Jessica Chapman,Merited Master of Sport,23,89307027482,Women
43,Susan Serrano,Second-Class Junior Sportsman,7,89174077995,Men
44,Rebecca Ward,Second-Class Sportsman,28,89423818263,Women
45,Tara Esparza,Candidate for Master of Sport,40,89674064231,Men
46,Scott Vaughn,Second-Class Sportsman,20,89281710166,Men
47,April Miller,Third-Class Sportsman,21,89586957868,Women
48,Henry Silva,Third-Class Sportsman,33,89214238917,Women
49,Reginald Mcclure,First-Class Sportsman,8,89781957851,Women
50,Maria Hill,Master of Sport,11,89921067666,Men
51,John Peterson,Master of Sport of the International Class,14,89731605535,Women
52,Ms. Kathryn Hensley,First-Class Junior Sportsman,15,89870067049,Men
53,Anthony Edwards,Master of Sport,31,89755873670,Men
54,Wendy Jones,Merited Master of Sport,19,89729817845,Men
55,Scott Grant,First-Class Sportsman,10,89314128986,Women
56,Michael Lane,Master of Sport of the International Class,21,89775039635,Women
57,Nicole Cannon,Candidate for Master of Sport,33,89515882982,Men
58,Oscar Owens,Candidate for Master of Sport,36,89911980378,Women
59,Isaiah Pittman,Merited Master of Sport,31,89524834704,Men
60,Leslie Le,Merited Master of Sport,19,89622446479,Men
61,Christopher Whitaker,Second-Class Sportsman,20,89224355235,Women
62,David Carr,Master of Sport of the International Class,6,89776368649,Men
63,Erika Ramos,Third-Class Sportsman,6,89389595936,Women
64,Debra Sullivan,Master of Sport,30,89508635837,Men
65,Douglas Moore,Master of Sport,28,89993935103,Women
66,Cassandra Griffin,Merited Master of Sport,34,89724073857,Women
67,Daniel Hudson,Master of Sport,7,89404092012,Men
68,Betty Jones,Master of Sport,30,89891273559,Men
69,Tyler Mcbride,Second-Class Junior Sportsman,21,89609506428,Men
70,Lisa Guzman,Second-Class Junior Sportsman,16,89433607105,Women
71,Michael King,Master of Sport of the International Class,9,89325976366,Women
72,Tammy Murphy,Merited Master of Sport,19,89901782828,Women
73,Cynthia Mcconnell,Second-Class Junior Sportsman,12,89465585832,Women
74,Jason Shannon,Merited Master of Sport,26,89060233445,Men
75,Nicole Morrison,Master of Sport of the International Class,26,89492680018,Men
76,Heather Prince,First-Class Sportsman,9,89324142967,Women
77,Peter King,Master of Sport,24,89606306444,Men
78,Michelle Reid,Merited Master of Sport,38,89063889533,Women
79,Nathaniel Brown,None,14,89588097697,Men
80,Manuel Rogers,Master of Sport,8,89573751214,Men
81,Sonia Newman,First-Class Junior Sportsman,29,89619279107,Women
82,Kelly Potter,Second-Class Junior Sportsman,19,89579209200,Women
83,Kevin Hart,Master of Sport of the International Class,33,89285868736,Women
84,Aaron Mcdonald,Third-Class Sportsman,11,89070819450,Women
85,Renee Roy,Merited Master of Sport,36,89658090833,Women
86,Anthony Adams,Candidate for Master of Sport,13,89479217059,Men
87,Andrew Martin,Candidate for Master of Sport,15,89031320689,Men
88,Keith Moore,Third-Class Junior Sportsman,8,89838283874,Men
89,Brian Anderson,Third-Class Junior Sportsman,20,89856599800,Women
90,Christopher Farmer,Merited Master of Sport,25,89061808635,Women
91,Richard Castillo,None,33,89230797834,Women
92,Alan Lewis,Master of Sport,35,89618327125,Women
93,Brenda Salinas,Third-Class Junior Sportsman,38,89841971512,Men
94,Matthew Keller,First-Class Sportsman,10,89871050020,Women
95,Sydney Davidson,Master of Sport of the International Class,36,89180621392,Women
96,Jordan King,Candidate for Master of Sport,27,89989479422,Men
97,Glenn Williams,First-Class Junior Sportsman,39,89902464164,Men
98,Theodore Lopez,Master of Sport,8,89271857955,Men
99,Jacqueline Clayton,Merited Master of Sport,20,89548993027,Men
100,Chelsea Bonilla DDS,Third-Class Junior Sportsman,16,89975735990,Men
101,Maria Frazier,Third-Class Sportsman,19,89710047716,Men
102,Deanna Brown,Third-Class Sportsman,8,89959922184,Women
103,Dennis Khan,First-Class Junior Sportsman,13,89218273138,Women
104,Ruth Reed,Merited Master of Sport,16,89883788537,Women
105,Craig Dunn,First-Class Sportsman,9,89290832853,Men
106,Roberto Boone,Second-Class Junior Sportsman,12,89405752663,Men
107,Mr. Albert Ortiz,Master of Sport of the International Class,9,89534197771,Women
108,Pamela Jones,First-Class Junior Sportsman,18,89945283705,Men
109,Stephanie Wallace,Master of Sport of the International Class,31,89638017466,Women
110,Christopher Fry,Second-Class Junior Sportsman,6,89706628905,Men
111,Larry Cunningham,First-Class Junior Sportsman,34,89269623283,Men
112,Dr. Kristin Stevenson,Master of Sport of the International Class,21,89323773061,Men
113,Jacqueline Clark,First-Class Sportsman,10,89103770273,Women
114,Amanda Campbell,Third-Class Sportsman,35,89956707144,Women
115,Dr. Kelly Decker,Third-Class Sportsman,18,89945074780,Women
116,Thomas Evans,Master of Sport,25,89813729340,Women
117,David Lynn,Third-Class Sportsman,22,89971811803,Women
118,Susan Hernandez,Master of Sport of the International Class,29,89192156922,Men
119,Regina Bradford,Master of Sport of the International Class,17,89065138009,Women
120,Stephanie Velez,None,10,89378359502,Women
121,Sarah Brooks,Master of Sport of the International Class,25,89272975985,Women
122,Mario Alexander,Third-Class Sportsman,19,89497344751,Women
123,John Lewis,First-Class Junior Sportsman,10,89380074021,Men
124,Mark Cox,Third-Class Junior Sportsman,6,89013021247,Women
125,James Hernandez,Second-Class Junior Sportsman,16,89784207073,Women
126,Monica Lyons,Master of Sport of the International Class,39,89602929100,Men
127,Patrick Rose,Second-Class Junior Sportsman,15,89949793850,Men
128,Amy Wyatt,First-Class Sportsman,23,89472855260,Women
129,Deborah Taylor,Third-Class Sportsman,38,89327674146,Men
130,Tiffany Gonzalez,Second-Class Junior Sportsman,11,89630442668,Women
131,Michael Stewart,Candidate for Master of Sport,34,89662046960,Women
132,Heidi Kemp,Second-Class Junior Sportsman,7,89955413712,Women
133,Darrell Hall,Merited Master of Sport,32,89882143985,Women
134,Michael Mcdowell,Master of Sport,19,89992248759,Men
135,Adam Robertson,First-Class Sportsman,17,89045815621,Men
136,Philip Reed,Master of Sport,17,89050918754,Men
137,Holly Jones,First-Class Junior Sportsman,24,89763355768,Men
138,Glenn Robertson,Third-Class Sportsman,32,89301705261,Men
139,Marc Bell,Candidate for Master of Sport,37,89786610886,Men
140,Desiree Sparks,Master of Sport,16,89432049899,Women
141,Brittany Branch,First-Class Sportsman,30,89446417244,Women
142,Steven Lewis,Second-Class Sportsman,9,89267734029,Women
143,Jennifer Rich,Second-Class Sportsman,28,89480485924,Men
144,Melissa Brown,Master of Sport,33,89616699252,Women
145,Tanner Norris,Master of Sport,23,89947974378,Women
146,Rachel Cortez,First-Class Sportsman,21,89455204985,Men
147,Matthew Villanueva,None,12,89651665981,Women
148,Patrick Maddox,None,38,89745520508,Women
149,Sara Johnson,Master of Sport,38,89651397408,Women
150,Erica Osborne,Merited Master of Sport,32,89752237736,Men
151,Megan Blake,None,39,89954681149,Men
152,Michaela Williams DVM,First-Class Junior Sportsman,13,89683336384,Women
153,Dustin Thompson II,Merited Master of Sport,16,89928655385,Women
154,Douglas Williams,First-Class Junior Sportsman,13,89235735987,Women
155,Amy Khan,Candidate for Master of Sport,18,89423625314,Men
156,Michael Cook,First-Class Junior Sportsman,8,89057024913,Women
157,Jamie Cabrera,Master of Sport,25,89832037098,Men
158,Kelli Wolfe,Candidate for Master of Sport,28,89331440448,Men
159,Traci Novak,Second-Class Junior Sportsman,39,89197171717,Women
160,Lindsey Walsh,Master of Sport of the International Class,39,89034115728,Women
161,Erin Collier,First-Class Sportsman,36,89745511772,Men
162,Sean Parsons,Second-Class Sportsman,28,89909688513,Women
163,Jennifer Mccann,Second-Class Junior Sportsman,38,89764619972,Women
164,Willie Grimes,Second-Class Sportsman,26,89043847109,Men
165,Erik Wilson,Second-Class Junior Sportsman,10,89544409097,Men
