
1,Tracy Webb,Master of Sport,12,62,89283985947,Men
2,Lisa Schneider,Master of Sport of the International Class,19,35,89609569221,Women
3,Christopher Hodges,Master of Sport of the International Class,34,56,89707456077,Men
4,Brenda Becker,Candidate for Master of Sport,14,63,89192027039,Men
5,Charles Duran,Candidate for Master of Sport,39,36,89852716413,Men
6,Peter Lam,Merited Master of Sport,36,46,89936823018,Men
7,Emily Horton,Merited Master of Sport,31,39,89831140669,Men
8,James Mendoza,Master of Sport,39,49,89883795913,Men
9,Christine Williams,Candidate for Master of Sport,10,55,89546263702,Women
10,Matthew Wood,Master of Sport,14,26,89261208206,Men
11,Terri Manning,First-Class Sportsman,10,39,89947391019,Men
12,David Rodriguez,Master of Sport of the International Class,41,43,89147724965,Men
13,Samuel Beard,Merited Master of Sport,38,21,89527728857,Men
14,Micheal Warren,Master of Sport of the International Class,22,64,89916023846,Men
15,Charles Beck,Candidate for Master of Sport,16,61,89016959953,Women
16,James Carter,Master of Sport,24,59,89510516147,Men
17,Morgan Shannon,Candidate for Master of Sport,12,32,89754956626,Men
18,Lauren Ellis,Merited Master of Sport,46,24,89821452144,Men
19,Frank Richardson,Merited Master of Sport,12,22,89743410998,Women
20,Melanie Browning,First-Class Sportsman,21,41,89526056424,Men
21,Ariana Leonard,Candidate for Master of Sport,51,57,89213452692,Women
22,Taylor Pugh,Merited Master of Sport,29,50,89793685040,Men
23,Jeremy Leon,Merited Master of Sport,38,26,89105481162,Women
24,Joshua Davidson,Master of Sport of the International Class,7,45,89656829286,Women
25,Matthew Hopkins,Merited Master of Sport,39,38,89126616789,Women
26,Zachary Cooper,Candidate for Master of Sport,14,42,89434874286,Women
27,Phillip Stevens,Master of Sport of the International Class,39,24,89818226665,Men
28,David Parker,Candidate for Master of Sport,34,20,89725588184,Women
29,April Mosley,Candidate for Master of Sport,24,59,89810572208,Men
30,Beth Avery,First-Class Sportsman,11,57,89293020013,Women
31,David Howard,Master of Sport,31,43,89579663535,Women
32,Stacy Vance,First-Class Sportsman,15,67,89786191082,Men
33,Jessica Pruitt,Master of Sport of the International Class,26,32,89209445192,Men
34,Jennifer Stewart,First-Class Sportsman,6,50,89295461625,Women
35,Elizabeth Murphy,Master of Sport,28,57,89374542242,Women
36,Robert Moran,Candidate for Master of Sport,13,58,89004058475,Women
37,Shawn Kennedy,Master of Sport,37,39,89871236846,Men
38,James Davis,Master of Sport,46,23,89584331991,Women
39,Thomas Campbell,Merited Master of Sport,40,64,89840412386,Men
40,Debra House,Merited Master of Sport,26,28,89036866047,Men
41,Sandra Palmer,Master of Sport of the International Class,16,41,89832890519,Men
42,Phyllis Gonzalez,First-Class Sportsman,34,39,89193737547,Men
43,Devin Harris,First-Class Sportsman,14,52,89528962515,Men
44,Amanda Wilson,Master of Sport,51,36,89717774762,Women
45,Jeffrey Rodriguez,Master of Sport of the International Class,23,44,89290291712,Women
46,James Lin,Merited Master of Sport,32,37,89264695430,Women
47,Nancy Harper,First-Class Sportsman,41,35,89370496679,Men
48,Katherine Alexander,First-Class Sportsman,21,24,89541344975,Women
49,Jennifer Reeves,Merited Master of Sport,49,18,89578492045,Women
50,Jason Sharp,First-Class Sportsman,27,66,89457441085,Men
51,Hannah Yoder,Merited Master of Sport,43,22,89089796787,Women
52,Tyler Martinez,First-Class Sportsman,45,45,89680088690,Women
53,James Payne,Merited Master of Sport,8,19,89348430634,Men
54,Jeff Moore,Master of Sport of the International Class,24,32,89235994542,Women
55,Blake Holder,First-Class Sportsman,23,30,89813867651,Women
56,Lauren Alvarado,Candidate for Master of Sport,48,64,89264392248,Women
57,Robert Garza,Master of Sport of the International Class,15,59,89627120452,Men
58,Kimberly Stewart,Master of Sport,22,34,89294101251,Women
59,Hannah Hill,Merited Master of Sport,31,67,89323392191,Men
60,Janice Little,Merited Master of Sport,22,63,89383408602,Men
61,Sharon Smith,Master of Sport of the International Class,48,42,89757290405,Women
62,Richard Murray,Master of Sport,51,62,89105403290,Men
63,Stephanie Martinez,Merited Master of Sport,41,21,89184117779,Men
64,Stacey Kline,Merited Master of Sport,15,63,89534758964,Men
65,Robert Adkins,Merited Master of Sport,38,27,89127543016,Women
66,Gregory Garcia,Master of Sport,34,38,89560496602,Women
67,Robert Jackson,First-Class Sportsman,38,61,89694992251,Men
68,Amanda Perez,Master of Sport,32,55,89945336009,Men
69,Ryan Blankenship,Candidate for Master of Sport,33,18,89378754762,Women
70,Henry Houston,Merited Master of Sport,11,70,89835124188,Women
71,Julie Mathews,First-Class Sportsman,43,30,89366169649,Men
72,Corey Alexander,Master of Sport,11,59,89026322843,Women
73,Erin Miller,Merited Master of Sport,23,67,89060881708,Women
74,Emily Davis,Candidate for Master of Sport,27,39,89888330052,Women
75,Tiffany Hayes,Master of Sport,38,60,89733523358,Men
76,Gabriel Collins,First-Class Sportsman,7,70,89833748684,Men
77,Carla Bender DVM,Master of Sport of the International Class,44,43,89566526032,Men
78,Eric Rodriguez,Candidate for Master of Sport,17,40,89165836719,Women
79,Anthony Davis,Candidate for Master of Sport,25,47,89551628934,Men
80,Jeremy Quinn,Candidate for Master of Sport,12,38,89154564520,Men
81,Michael Mitchell,First-Class Sportsman,15,43,89177066852,Women
82,Brooke Duncan,Merited Master of Sport,36,40,89370051097,Women
83,Justin Logan,Merited Master of Sport,13,22,89679438172,Men
84,Christina Chambers,Master of Sport,10,42,89094329449,Men
85,Wendy Serrano,Merited Master of Sport,16,67,89560492458,Women
86,Justin Armstrong,First-Class Sportsman,40,23,89931927057,Women
87,Trevor Mercado,Merited Master of Sport,41,31,89432640588,Women
88,Gary Dennis,Master of Sport of the International Class,37,62,89060509581,Men
89,Zachary Garcia,Master of Sport of the International Class,51,62,89433142009,Men
90,Kenneth Greene,Candidate for Master of Sport,31,26,89730605818,Women
91,Patricia Jordan,Merited Master of Sport,10,63,89718171908,Men
92,Jennifer Gonzalez,Master of Sport,23,68,89721832728,Women
93,Kayla Oconnell,First-Class Sportsman,52,53,89293729149,Women
94,Shane Kemp,Merited Master of Sport,41,46,89813523116,Women
95,Samantha Singleton,Merited Master of Sport,46,36,89877760818,Men
96,Diane Wright,Master of Sport of the International Class,21,43,89094237127,Men
97,Ronnie Henderson,First-Class Sportsman,47,22,89791517052,Men
98,Jennifer Davis,Candidate for Master of Sport,36,39,89980923240,Women
99,Lauren Davis,Merited Master of Sport,35,32,89232564765,Men
100,Tyler Jefferson,First-Class Sportsman,35,69,89224588200,Men
101,Jennifer Walker,Candidate for Master of Sport,38,41,89515873098,Men
102,Tanya Castillo,Master of Sport of the International Class,31,60,89709334084,Women
103,Ryan Atkinson,Candidate for Master of Sport,31,51,89475805169,Women
104,Angela Harris,Master of Sport of the International Class,10,38,89997996717,Men
105,Tammy Parks,Merited Master of Sport,18,45,89511179534,Men
106,Taylor Adams,Candidate for Master of Sport,31,42,89869671045,Men
107,Marissa Sims,Merited Master of Sport,45,64,89916380298,Women
108,Ronald Neal,Merited Master of Sport,35,32,89886852760,Men
109,Brandon White,Merited Master of Sport,23,48,89031001405,Men
110,Brandi Esparza,Candidate for Master of Sport,25,19,89000755079,Men
111,Dr. Brian Hicks,Master of Sport,51,52,89093662474,Women
112,Kelly Hamilton,Master of Sport,20,61,89405172165,Women
113,Erik Parks,First-Class Sportsman,15,62,89888426179,Men
114,James Little,Merited Master of Sport,49,36,89477504156,Men
115,Thomas Paul,Master of Sport of the International Class,18,40,89685820216,Women
116,Robert Huber,First-Class Sportsman,9,24,89703636588,Women
117,Beverly Gentry,Master of Sport of the International Class,47,23,89222024182,Women
118,Paul Boyd,Merited Master of Sport,42,32,89414721390,Men
119,Michael Moses,Master of Sport of the International Class,52,57,89532323135,Men
120,Theresa Vaughn,Candidate for Master of Sport,29,43,89360817409,Men
121,Jeffrey Daniels,Master of Sport,23,63,89187884909,Women
122,Jerome Pollard,First-Class Sportsman,7,34,89897329321,Women
123,Kendra Hicks,Merited Master of Sport,13,28,89462763189,Men
124,Joel Hall Jr.,First-Class Sportsman,17,25,89054711269,Men
125,Tamara Patton,First-Class Sportsman,11,45,89388606646,Women
126,Kimberly Simpson DDS,Candidate for Master of Sport,46,20,89351738790,Men
127,Christy Lee,Master of Sport,30,64,89200896339,Women
128,Christine Ferguson,Master of Sport,50,36,89480891819,Women
129,Lisa Clark,First-Class Sportsman,31,26,89718939185,Men
130,Joy Moreno,Master of Sport of the International Class,26,47,89027461352,Men
131,Jonathan Cross,Candidate for Master of Sport,12,40,89368841850,Men
132,Jackie Hill,Merited Master of Sport,51,37,89004159617,Women
133,Kathleen Miller,Master of Sport,10,26,89943063531,Men
134,David Hines,Master of Sport,39,46,89405321765,Women
135,Darrell Hill,Merited Master of Sport,45,31,89367634161,Women
136,Monique Patterson,First-Class Sportsman,35,19,89279160681,Women
137,Brandon Blevins,Master of Sport of the International Class,19,32,89604955360,Women
138,Steven Jensen,Master of Sport,23,52,89624573616,Women
139,Elizabeth Holland,Candidate for Master of Sport,28,22,89102084555,Men
